4.65 4.86 5.42 6.27 7.36 8.61 9.90 11.11 12.11 12.76 12.99 12.76 12.11 11.11 9.90 8.61 7.36 6.27 5.42 4.86 4.65 
4.86 5.11 5.73 6.68 7.91 9.32 10.79 12.18 13.33 14.09 14.36 14.09 13.33 12.18 10.79 9.32 7.91 6.68 5.73 5.11 4.86 
5.42 5.73 6.49 7.65 9.16 10.91 12.77 14.55 16.06 17.06 17.42 17.06 16.06 14.55 12.77 10.91 9.16 7.65 6.49 5.73 5.42 
6.27 6.68 7.65 9.14 11.09 13.40 15.89 18.34 20.44 21.88 22.39 21.88 20.44 18.34 15.89 13.40 11.09 9.14 7.65 6.68 6.27 
7.36 7.91 9.16 11.09 13.66 16.75 20.17 23.63 26.70 28.86 29.65 28.86 26.70 23.63 20.17 16.75 13.66 11.09 9.16 7.91 7.36 
8.61 9.32 10.91 13.40 16.75 20.88 25.60 30.55 35.13 38.50 39.78 38.50 35.13 30.55 25.60 20.88 16.75 13.40 10.91 9.32 8.61 
9.90 10.79 12.77 15.89 20.17 25.60 32.04 39.11 46.07 51.56 53.81 51.56 46.07 39.11 32.04 25.60 20.17 15.89 12.77 10.79 9.90 
11.11 12.18 14.55 18.34 23.63 30.55 39.11 49.12 59.80 69.20 73.67 69.20 59.80 49.12 39.11 30.55 23.63 18.34 14.55 12.18 11.11 
12.11 13.33 16.06 20.44 26.70 35.13 46.07 59.80 76.12 93.06 103.72 93.06 76.12 59.80 46.07 35.13 26.70 20.44 16.06 13.33 12.11 
12.76 14.09 17.06 21.88 28.86 38.50 51.56 69.20 93.06 124.39 156.22 124.39 93.06 69.20 51.56 38.50 28.86 21.88 17.06 14.09 12.76 
12.99 14.36 17.42 22.39 29.65 39.78 53.81 73.67 103.72 156.22 273.15 156.22 103.72 73.67 53.81 39.78 29.65 22.39 17.42 14.36 12.99 
12.76 14.09 17.06 21.88 28.86 38.50 51.56 69.20 93.06 124.39 156.22 124.39 93.06 69.20 51.56 38.50 28.86 21.88 17.06 14.09 12.76 
12.11 13.33 16.06 20.44 26.70 35.13 46.07 59.80 76.12 93.06 103.72 93.06 76.12 59.80 46.07 35.13 26.70 20.44 16.06 13.33 12.11 
11.11 12.18 14.55 18.34 23.63 30.55 39.11 49.12 59.80 69.20 73.67 69.20 59.80 49.12 39.11 30.55 23.63 18.34 14.55 12.18 11.11 
9.90 10.79 12.77 15.89 20.17 25.60 32.04 39.11 46.07 51.56 53.81 51.56 46.07 39.11 32.04 25.60 20.17 15.89 12.77 10.79 9.90 
8.61 9.32 10.91 13.40 16.75 20.88 25.60 30.55 35.13 38.50 39.78 38.50 35.13 30.55 25.60 20.88 16.75 13.40 10.91 9.32 8.61 
7.36 7.91 9.16 11.09 13.66 16.75 20.17 23.63 26.70 28.86 29.65 28.86 26.70 23.63 20.17 16.75 13.66 11.09 9.16 7.91 7.36 
6.27 6.68 7.65 9.14 11.09 13.40 15.89 18.34 20.44 21.88 22.39 21.88 20.44 18.34 15.89 13.40 11.09 9.14 7.65 6.68 6.27 
5.42 5.73 6.49 7.65 9.16 10.91 12.77 14.55 16.06 17.06 17.42 17.06 16.06 14.55 12.77 10.91 9.16 7.65 6.49 5.73 5.42 
4.86 5.11 5.73 6.68 7.91 9.32 10.79 12.18 13.33 14.09 14.36 14.09 13.33 12.18 10.79 9.32 7.91 6.68 5.73 5.11 4.86 
4.65 4.86 5.42 6.27 7.36 8.61 9.90 11.11 12.11 12.76 12.99 12.76 12.11 11.11 9.90 8.61 7.36 6.27 5.42 4.86 4.65 
