273.15 187.31 135.91 101.20 76.08 57.22 42.81 31.76 23.31 16.90 12.10 8.56 5.98 4.15 2.87 1.99 1.37 0.93 0.53 0.00 
187.31 153.47 120.14 92.73 71.03 53.97 40.63 30.25 22.25 16.16 11.58 8.20 5.75 4.01 2.80 1.97 1.41 1.02 0.74 0.53 
135.91 120.14 99.72 80.02 62.84 48.55 36.95 27.72 20.51 14.96 10.77 7.67 5.43 3.84 2.74 2.01 1.52 1.21 1.02 0.93 
101.20 92.73 80.02 66.29 53.33 41.94 32.35 24.52 18.29 13.44 9.76 7.03 5.06 3.68 2.74 2.13 1.75 1.52 1.41 1.37 
76.08 71.03 62.84 53.33 43.81 35.04 27.40 21.01 15.83 11.77 8.66 6.37 4.72 3.59 2.84 2.39 2.13 2.01 1.97 1.99 
57.22 53.97 48.55 41.94 35.04 28.45 22.55 17.51 13.37 10.09 7.59 5.75 4.47 3.62 3.11 2.84 2.74 2.74 2.80 2.87 
42.81 40.63 36.95 32.35 27.40 22.55 18.11 14.27 11.08 8.55 6.65 5.29 4.39 3.86 3.62 3.59 3.68 3.84 4.01 4.15 
31.76 30.25 27.72 24.52 21.01 17.51 14.27 11.43 9.08 7.25 5.92 5.04 4.55 4.39 4.47 4.72 5.06 5.43 5.75 5.98 
23.31 22.25 20.51 18.29 15.83 13.37 11.08 9.08 7.47 6.27 5.48 5.09 5.04 5.29 5.75 6.37 7.03 7.67 8.20 8.56 
16.90 16.16 14.96 13.44 11.77 10.09 8.55 7.25 6.27 5.64 5.38 5.48 5.92 6.65 7.59 8.66 9.76 10.77 11.58 12.10 
12.10 11.58 10.77 9.76 8.66 7.59 6.65 5.92 5.48 5.38 5.64 6.27 7.25 8.55 10.09 11.77 13.44 14.96 16.16 16.90 
8.56 8.20 7.67 7.03 6.37 5.75 5.29 5.04 5.09 5.48 6.27 7.47 9.08 11.08 13.37 15.83 18.29 20.51 22.25 23.31 
5.98 5.75 5.43 5.06 4.72 4.47 4.39 4.55 5.04 5.92 7.25 9.08 11.43 14.27 17.51 21.01 24.52 27.72 30.25 31.76 
4.15 4.01 3.84 3.68 3.59 3.62 3.86 4.39 5.29 6.65 8.55 11.08 14.27 18.11 22.55 27.40 32.35 36.95 40.63 42.81 
2.87 2.80 2.74 2.74 2.84 3.11 3.62 4.47 5.75 7.59 10.09 13.37 17.51 22.55 28.45 35.04 41.94 48.55 53.97 57.22 
1.99 1.97 2.01 2.13 2.39 2.84 3.59 4.72 6.37 8.66 11.77 15.83 21.01 27.40 35.04 43.81 53.33 62.84 71.03 76.08 
1.37 1.41 1.52 1.75 2.13 2.74 3.68 5.06 7.03 9.76 13.44 18.29 24.52 32.35 41.94 53.33 66.29 80.02 92.73 101.20 
0.93 1.02 1.21 1.52 2.01 2.74 3.84 5.43 7.67 10.77 14.96 20.51 27.72 36.95 48.55 62.84 80.02 99.72 120.14 135.91 
0.53 0.74 1.02 1.41 1.97 2.80 4.01 5.75 8.20 11.58 16.16 22.25 30.25 40.63 53.97 71.03 92.73 120.14 153.47 187.31 
0.00 0.53 0.93 1.37 1.99 2.87 4.15 5.98 8.56 12.10 16.90 23.31 31.76 42.81 57.22 76.08 101.20 135.91 187.31 273.15 
